CallFlow,CallTransfer,CallLogs
"WelcomeNoID
MTBPLang
MMBPMainMenu
MMPreFraudDiscMsg
MMTransFraudDisclaimer
MMTelemktYN
MMGoldCardPhone
MMNameVerify_1
MMVerifyZip
MMGetLocateID
MMLocateIDMatch
MMSendAmount
MMLastSend_1
MMLastSend_2
MMCountrySameYN_1
MMLocateSameYN_1
MMConfirmSendType_1
MMConfirmSendType_2
MMConfirmSendType_3
MMGamblingMsg
MMPromoCode
MMConfirmTransaction_1
MMConfirmTransaction_2
MMConfirmTransaction_3
MMTempTransNum1
MMTempTransNum2_1
MMTempTransNum2_2
MMTempTransNum2_3
MMServiceSurvey","Language=en-us;CTV=6000050;TransactionType=12;VRUTranType=MTBPSender EN;Skill=7999;",00A201B2-10026D1C.txt
"WelcomeNoID
MTBPLang
MMBPMainMenu
MMPreFraudDiscMsg
MMTransFraudDisclaimer
MMTelemktYN
MMGoldCardPhone
MMHold
MMVerifyZip
MMNameVerify_1
MMGetLocateID
MMLocateIDMatch
MMSendAmount
MMLastSend_1
MMLastSend_2
MMCountrySameYN_1
MMLocateSameYN_1
MMGetPickupStateASR
MMCollectState
MMStateDisambig
MMStateDisambigConfirm
MMConfirmSendType_1
MMConfirmSendType_2
MMConfirmSendType_3
MMTransferMsg","Language=en-us;CTV=6000050;TransactionType=12;VRUTranType=MTBPSender EN;Skill=7999;",00A201B2-1002842E.txt
